brand,model,year,mileage,drivetrain,msrp,current_value
Honda,Accord LX,2016,79236,FWD,39779,4449.89
Toyota,Highlander XLE,2021,49656,AWD,28257,12081.03
Hyundai,Elantra SEL,2015,179350,FWD,30020,3000.0
Nissan,Sentra SV,2018,85134,FWD,37566,6542.92
Ford,Fusion SE,2011,213066,FWD,28587,3000.0
Chevrolet,Equinox Premier,2012,118339,AWD,26172,3000.0
Kia,Optima LX,2020,107045,FWD,36633,9337.12
Mazda,CX-5 Signature,2018,46172,AWD,26127,6056.15
Subaru,Legacy Premium,2023,11726,AWD,32748,23119.55
Volkswagen,Tiguan SE,2015,91710,AWD,29771,3000.0
BMW,X5 M,2012,161317,AWD,58777,3000.0
Mercedes-Benz,C300,2022,65658,RWD,49533,24915.12
Lexus,ES 350,2018,166075,FWD,33269,3074.04
Honda,CR-V EX,2020,91210,AWD,24514,6809.19
Toyota,RAV4 XLE,2015,210480,AWD,32978,3000.0
Hyundai,Elantra SEL,2018,140749,FWD,24179,3000.0
Nissan,Sentra SV,2014,162635,FWD,30358,3000.0
Ford,Focus Titanium,2017,181312,FWD,39239,3000.0
Chevrolet,Equinox Premier,2006,169632,AWD,39668,3000.0
Kia,Sportage SX,2023,23178,AWD,39027,26930.1
Mazda,Mazda6 Grand Touring,2019,77472,FWD,44250,10389.42
Subaru,Outback Limited,2006,257754,AWD,37331,3000.0
Volkswagen,Tiguan SE,2016,197208,AWD,39091,3000.0
BMW,330i,2022,27129,RWD,46408,26286.19
Mercedes-Benz,GLC 300,2011,279930,AWD,44759,3000.0
Lexus,IS 300,2019,148086,RWD,46564,6851.8
Honda,Civic EX,2012,132990,FWD,35732,3000.0
Toyota,Corolla LE,2017,59056,FWD,36989,6254.71
Hyundai,Sonata SE,2022,61554,FWD,23856,12155.05
Nissan,Altima S,2014,200365,FWD,38794,3000.0
Ford,Fusion SE,2023,26286,FWD,33037,22654.84
Chevrolet,Malibu LT,2012,200148,FWD,29311,3000.0
Kia,Optima LX,2024,12226,FWD,28990,24346.14
Mazda,CX-5 Signature,2021,77904,AWD,38693,14699.01
Subaru,Legacy Premium,2014,218724,AWD,34430,3000.0
Volkswagen,Tiguan SE,2021,91244,AWD,23370,8385.72
BMW,330i,2022,39555,RWD,46282,25242.83
Mercedes-Benz,GLC 300,2014,152570,AWD,39497,3000.0
Lexus,IS 300,2006,116964,RWD,47448,3000.0
Honda,Pilot Touring,2014,139359,AWD,32857,3000.0
Toyota,Camry SE,2013,244656,FWD,31706,3000.0
Hyundai,Sonata SE,2012,238264,FWD,43715,3000.0
Nissan,Sentra SV,2019,148308,FWD,43728,6424.67
Ford,Escape SEL,2010,243915,AWD,42432,3000.0
Chevrolet,Cruze LS,2017,142184,FWD,40911,3354.42
Kia,Optima LX,2016,211365,FWD,44638,3000.0
Mazda,Mazda3 Touring,2010,114315,FWD,28832,3000.0
Subaru,Legacy Premium,2017,187160,AWD,22280,3000.0
Volkswagen,Tiguan SE,2011,333018,AWD,36132,3000.0
BMW,X5 M,2021,45460,AWD,33331,14498.47
Mercedes-Benz,E350,2006,118579,RWD,57999,3000.0
Lexus,IS 300,2005,175180,RWD,43762,3000.0
Honda,CR-V EX,2008,301988,AWD,25393,3000.0
Toyota,Highlander XLE,2011,311682,AWD,28923,3000.0
Hyundai,Sonata SE,2008,419169,FWD,30815,3000.0
Nissan,Altima S,2005,459360,FWD,24067,3000.0
